Received Date,Employer Name,Employer City,Employer State,Employer Zip Code,Industry,Complaint Type,Minimum Wage,Tips,Prevailing Wage,Independent contractor misclassification,Retaliation,Overtime,Non-payment of wages,Vacation Pay,Meal Period,Child Labor,Unpaid commissions,Personnel records,Other,Domestic Worker Law Violation,Earned Sick Leave,Temp Workers' Right to Know,Minor Working Too Early or Too Late,Minor Working Too Many Hours,Minor Working Without a Permit,Minor Working in a Prohibited Occupation,Minor Serving Alcohol,Minor Unsupervised after 8pm,Number
2/25/2026,Regenerative LLC                                                                                                                                      ,Uxbridge                           ,MA   ,01569          ,Agricultural                                                                                        ,Non-Payment of Wage                               , , , , , , ,Yes, , , ,Yes, ,Yes, , , , , , , , , ,1327967
2/25/2026,Stratton Amenities                                                                                                                                    ,Frisco                             ,TX   ,75035          ,Services                                                                                            , , , , , , , , , , , , , , , , , , , , , , , ,1328074
2/25/2026,Texas Roadhouse                                                                                                                                       ,Springfield                        ,MA   ,01128          ,Restaurant/Hotel                                                                                    ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1328068
2/24/2026,Ahtna Security                                                                                                                                        ,Andover                            ,MA   ,01844          ,Security                                                                                            ,Non-Payment of Wage                               , , , , , ,Yes, , , , , , , , , , , , , , , , ,1327857
2/24/2026,Belmont Landscape LLC                                                                                                                                 ,Medfield                           ,MA   ,02052          ,Landscaping/Snow Removal                                                                            ,Non-Payment of Wage                               , , , , , ,Yes,Yes, , , , , , , , , , , , , , , ,1327890
2/24/2026,Boston's Best Dog Walkers                                                                                                                             ,Boston                             ,MA   ,02134          ,Services                                                                                            ,Non-Payment of Wage                               ,Yes,Yes, ,Yes,Yes, ,Yes, , , , , , , , , , , , , , , ,1327907
2/24/2026,Boys and Girls Club Family Center                                                                                                                     ,Springfield                        ,MA   ,01109          ,Child Care/Education                                                                                ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1327903
2/24/2026,CVS Health                                                                                                                                            ,Woonsocket                         ,RI   ,02895          ,Hospitals/Nursing Home/Healthcare                                                                   ,Non-Payment of Wage                               , , , , ,Yes, ,Yes, , , , , , , ,Yes, , , , , , , ,1327895
2/24/2026,Dollar Tree                                                                                                                                           ,Salem                              ,MA   ,01970          ,Retail/Sales                                                                                        ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1327897
2/24/2026,Eddie Pineda                                                                                                                                          ,Cambridge                          ,MA   ,02138          ,Construction                                                                                        ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1327753
2/24/2026,Fada Cleaners                                                                                                                                         ,Watertown                          ,MA   ,02472          ,Cleaning/Janitorial                                                                                 ,Non-Payment of Wage                               ,Yes, , ,Yes, ,Yes, , , , , , , ,Yes,Yes, , , , , , , ,1327752
2/24/2026,FinRay Solar                                                                                                                                          ,Bala Cynwyd                        ,PA   ,19004          ,Construction                                                                                        ,Non-Payment of Wage                               ,Yes, , ,Yes, ,Yes,Yes, , , , ,Yes, , , , , , , , , , ,1327887
2/24/2026,"Galaxy Integrated Technologies, LLC                                                                                                                   ",Waltham                            ,MA   ,02451          ,Construction                                                                                        ,Non-Payment of Wage                               , , , , , , , ,Yes, , , , , , , , , , , , , , ,1327800
2/24/2026,Globus Medical                                                                                                                                        ,Methuen                            ,MA   ,01844          ,Manufacturing/Food Processing                                                                       ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1327892
2/24/2026,IDC                                                                                                                                                   ,Boston                             ,MA   ,02108          ,Services                                                                                            ,Non-Payment of Wage                               , , , , , , ,Yes,Yes, , ,Yes, , , , , , , , , , , ,1327750
2/24/2026,Kyra Group LLC                                                                                                                                        ,Cambridge                          ,MA   ,02141          ,Services                                                                                            ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1327899
2/24/2026,"Northern Drill Service, Inc.                                                                                                                          ",Northborough                       ,MA   ,01532          ,Construction                                                                                        ,Non-Payment of Wage                               , , , , ,Yes,Yes,Yes, , , , , , , , , , , , , , , ,1327783
2/24/2026,Orange Oil Company                                                                                                                                    ,New Salem                          ,MA   , ,Services                                                                                            ,Non-Payment of Wage                               , , , , , ,Yes,Yes, , , , , , , , , , , , , , , ,1327757
2/24/2026,Rock Splitters Inc.                                                                                                                                   ,Charlton                           ,MA   ,01507          ,Construction                                                                                        ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1327842
2/24/2026,The Hotel Northampton                                                                                                                                 ,Northampton                        ,MA   ,01060          ,Restaurant/Hotel                                                                                    ,Non-Payment of Wage                               ,Yes, , , , , ,Yes, , , , , , , , , , , , , , , ,1327900
2/23/2026,Athena Security                                                                                                                                       ,Andover                            ,MA   ,01810          ,Security                                                                                            ,Non-Payment of Wage                               , , , , , ,Yes, , , , , , , , , , , , , , , , ,1327616
2/23/2026,Big Night Entertainment Group                                                                                                                         ,Boston                             ,MA   ,02210          ,Entertainment/Gaming                                                                                ,Non-Payment of Wage                               , , , , , , , , ,Yes, , , ,Yes, , , , , , , , , ,1327598
2/23/2026,Bred                                                                                                                                                  ,Cambridge                          ,MA   ,02139          ,Restaurant/Hotel                                                                                    ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1327575
2/23/2026,Burlington                                                                                                                                            ,Seekonk                            ,MA   ,02771          ,Retail/Sales                                                                                        ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1327582
2/23/2026,Carlow Clove Inc.                                                                                                                                     ,Worcester                          ,MA   ,01606          ,Restaurant/Hotel                                                                                    ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1327578
2/23/2026,Clean Harbors                                                                                                                                         ,Norwell                            ,MA   ,02061          ,Waste Management                                                                                    , , , , , , , , , , , , , , , , , , , , , , , ,1327576
2/23/2026,Cowan Systems LLC                                                                                                                                     ,Uxbridge                           ,MA   ,01569          ,Transportation/Delivery                                                                             ,Non-Payment of Wage                               , , , , ,Yes, ,Yes, , , , , , , , , , , , , , , ,1327675
2/23/2026,DIH Technology Inc.                                                                                                                                   ,Norwell                            ,MA   ,02061          ,Technology/Biotech                                                                                  ,Non-Payment of Wage                               , , , , , , ,Yes,Yes, , ,Yes, , , , , , , , , , , ,1327640
2/23/2026,Dunkin’ Donuts                                                                                                                                        ,Woburn                             ,MA   ,01801          ,Restaurant/Hotel                                                                                    ,Non-Payment of Wage                               , , , , , , , , , , , , , , , , , , , , , , ,1327700
2/23/2026,Eastern Bus Company                                                                                                                                   ,Medford                            ,MA   ,02151          ,Transportation/Delivery                                                                             ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1327587
2/23/2026,Family Table                                                                                                                                          ,Worcester                          ,MA   ,01607          ,Restaurant/Hotel                                                                                    ,Non-Payment of Wage                               , , , , , , , , ,Yes, , , , , , , , , , , , , ,1327580
2/23/2026,"Gatehouse Bio, Inc.                                                                                                                                   ",Needham Heights                    ,MA   ,02494          ,Technology/Biotech                                                                                  ,Non-Payment of Wage                               , , , , ,Yes, ,Yes, , , , , , , , , , , , , , , ,1327607
2/23/2026,Giacomo's Melrose                                                                                                                                     ,Melrose                            ,MA   ,02151          ,Restaurant/Hotel                                                                                    ,Non-Payment of Wage                               , , , , ,Yes, ,Yes,Yes, , , , , , ,Yes, , , , , , , ,1327643
2/23/2026,Heritage Home Service                                                                                                                                 ,Wilmington                         ,MA   ,01887          ,Services                                                                                            ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1327625
2/23/2026,HS Lima Services                                                                                                                                      ,Marlborough                        ,MA   ,01752          ,Landscaping/Snow Removal                                                                            ,Non-Payment of Wage                               , , , ,Yes, ,Yes,Yes,Yes, , , , ,Yes, ,Yes, ,Yes, ,Yes, , , ,1327682
2/23/2026,InEnTec Inc.                                                                                                                                          ,Richland                           ,WA   ,99354          ,Technology/Biotech                                                                                  ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1327670
2/23/2026,Justice 4 Housing                                                                                                                                     ,Jamaica Plain                      ,MA   ,02130          ,Services                                                                                            ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , ,Yes, , , , , , , , , ,1327620
2/23/2026,Legacy Sounds LLC                                                                                                                                     ,Ludlow                             ,MA   ,90026          ,Services                                                                                            ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1327738
2/23/2026,"Lighthouse Mental Wellness, PLLC                                                                                                                      ",Pembroke                           ,MA   ,02359          ,Hospitals/Nursing Home/Healthcare                                                                   ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1327717
2/23/2026,LogixHealth                                                                                                                                           ,Bedford                            ,MA   ,01730          ,Services                                                                                            ,Non-Payment of Wage                               , , , , , , ,Yes,Yes, , , , , , , , , , , , , , ,1327694
2/23/2026,Olympia Moving & Storage                                                                                                                              ,Watertown                          ,MA   ,02472          ,Transportation/Delivery                                                                             ,Non-Payment of Wage                               , , , , , , , , , , , , , , ,Yes, , , , , , , ,1327688
2/23/2026,Omni Technology Services                                                                                                                              ,Braintree                          ,MA   ,02184          ,Services                                                                                            ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1327631
2/23/2026,Passion Dental                                                                                                                                        ,Marlborough                        ,MA   ,02301          ,Hospitals/Nursing Home/Healthcare                                                                   ,Non-Payment of Wage                               , , , , , ,Yes,Yes, , , , , , , , , , , , , , , ,1327684
